Nub_ID,Species,Coral,Color,Colony.No,Assignment ,Treatment,Tank,Initial ,Initial Temperature,Final,Final Temperature,
G030_Poc2_TP_0.1,Pocillopora,30,Green,2,TP,0,1,5.59,26.706,5.623,24.89,
G036_Poc2_CH_0.1,Pocillopora,36,Green,2,CH,0,1,3.65,26.685,3.693,24.89,
G049_Poc3_CH_0.1,Pocillopora,49,Green,3,CH,0,1,5.515,26.958,5.602,24.9,
G051_Poc3_TP_0.1,Pocillopora,51,Green,3,TP,0,1,4.354,26.957,4.432,24.9,
G080_Poc4_CH_0.1,Pocillopora,80,Green,4,CH,0,1,4.765,26.807,4.811,24.89,
G088_Poc5_CH_0.1,Pocillopora,88,Green,5,CH,0,1,4.882,26.355,4.92,24.89,
R006_Poc6_CH_0.1,Pocillopora,6,RED,6,CH,0,1,3.533,26.33,3.606,24.9,
R023_Poc7_CH_0.1,Pocillopora,23,RED,7,CH,0,1,3.975,26.943,4.02,24.9,
R058_Poc8_CH_0.1,Pocillopora,58,RED,8,CH,0,1,5.088,26.91,5.145,24.98,
G128_Por2_CH_0.1,Porites,128,Green,2,CH,0,1,4.213,26.745,4.311,24.89,
G151_Por3_CH_0.1,Porites,151,Green,3,CH,0,1,3.584,26.721,3.945,24.89,
G165_Por4_TP_0.1,Porites,165,Green,4,TP,0,1,4.384,26.856,4.829,24.91,
G169_Por4_CH_0.1,Porites,169,Green,4,CH,0,1,4.82,26.854,5.175,24.89,
G182_Por5_TP_0.1,Porites,182,Green,5,TP,0,1,3.467,26.757,3.68,24.91,
G200_Por5_CH_0.1,Porites,200,Green,5,CH,0,1,8.187,26.232,8.989,24.91,
R119_Por6_CH_0.1,Porites,119,RED,6,CH,0,1,4.314,26.779,4.598,24.91,
R140_Por7_CH_0.1,Porites,140,RED,7,CH,0,1,3.994,26.842,4.157,24.89,
R174_Por8_CH_0.1,Porites,174,RED,8,CH,0,1,3.699,26.664,3.914,24.89,
G021_Poc2_CH_0.2,Pocillopora,21,Green,2,CH,0,2,3.211,26.773,3.26,24.9,
G048_Poc3_CH_0.2,Pocillopora,48,Green,3,CH,0,2,4.457,27.014,4.536,24.88,
G068_Poc4_CH_0.2,Pocillopora,68,Green,4,CH,0,2,2.98,26.975,3.01,24.88,
G071_Poc4_TP_0.2,Pocillopora,71,Green,4,TP,0,2,3.234,26.95,3.263,24.87,
G099_Poc5_CH_0.2,Pocillopora,99,Green,5,CH,0,2,5.9,26.376,5.946,24.9,
R008_Poc6_TP_0.2,Pocillopora,8,RED,6,TP,0,2,4.203,26.3,4.326,24.88,
R020_Poc6_CH_0.2,Pocillopora,20,RED,6,CH,0,2,3.7,26.316,3.763,24.88,
R036_Poc7_CH_0.2,Pocillopora,36,RED,7,CH,0,2,3.047,26.976,3.089,24.89,
R041_Poc8_TP_0.2,Pocillopora,41,RED,8,TP,0,2,3.976,26.899,4.03,24.89,
R060_Poc8_CH_0.2,Pocillopora,60,RED,8,CH,0,2,4.994,26.896,5.07,24.89,
G135_Por2_CH_0.2,Porites,135,Green,2,CH,0,2,3.322,26.743,3.412,24.9,
G139_Por2_TP_0.2,Porites,139,Green,2,TP,0,2,3.507,26.738,3.657,24.88,
G141_Por3_CH_0.2,Porites,141,Green,3,CH,0,2,3.151,26.787,3.417,24.9,
G177_Por4_CH_0.2,Porites,177,Green,4,CH,0,2,5.4,26.834,5.642,24.87,
G190_Por5_CH_0.2,Porites,190,Green,5,CH,0,2,2.719,26.748,2.805,24.88,
R101_Por6_CH_0.2,Porites,101,RED,6,CH,0,2,3.355,26.754,3.516,24.9,
R108_Por6_TP_0.2,Porites,108,RED,6,TP,0,2,5.088,26.761,5.305,24.9,
R122_Por7_CH_0.2,Porites,122,RED,7,CH,0,2,3.443,26.852,3.552,24.88,
R162_Por8_CH_0.2,Porites,162,RED,8,CH,0,2,2.702,26.735,2.818,24.89,
G035_Poc2_CH_0.3,Pocillopora,35,Green,2,CH,0,3,4.728,26.682,4.779,24.87,
G059_Poc3_CH_0.3,Pocillopora,59,Green,3,CH,0,3,3.285,27.097,3.33,24.91,
G072_Poc4_CH_0.3,Pocillopora,72,Green,4,CH,0,3,4.337,26.953,4.411,24.93,
G089_Poc5_CH_0.3,Pocillopora,89,Green,5,CH,0,3,4.193,26.387,4.269,24.87,
G093_Poc5_TP_0.3,Pocillopora,93,Green,5,TP,0,3,4.509,26.304,4.642,24.87,
R012_Poc6_CH_0.3,Pocillopora,12,RED,6,CH,0,3,3.317,26.367,3.367,24.91,
R022_Poc7_CH_0.3,Pocillopora,22,RED,7,CH,0,3,3.494,26.928,3.543,24.92,
R032_Poc7_TP_0.3,Pocillopora,32,RED,7,TP,0,3,4.119,26.957,4.183,24.87,
R052_Poc8_CH_0.3,Pocillopora,52,RED,8,CH,0,3,8.991,26.924,9.138,24.92,
G123_Por2_CH_0.3,Porites,123,Green,2,CH,0,3,4.368,26.7,4.297,24.91,shrunk by 0.1 g dry wt. but looks like has grown
G150_Por3_TP_0.3,Porites,150,Green,3,TP,0,3,4.171,26.785,4.418,24.92,
G156_Por3_CH_0.3,Porites,156,Green,3,CH,0,3,6.224,26.771,6.699,24.88,
G162_Por4_CH_0.3,Porites,162,Green,4,CH,0,3,5.336,26.851,5.564,24.89,
G188_Por5_CH_0.3,Porites,188,Green,5,CH,0,3,5.828,26.746,5.929,24.89,
R113_Por6_CH_0.3,Porites,113,RED,6,CH,0,3,2.92,26.773,3.107,24.87,
R123_Por7_TP_0.3,Porites,123,RED,7,TP,0,3,4.016,26.828,4.137,24.92,
