,ChamberID,LightM,LightB,LightR2,LightP,GoodLight?,DarkM,DarkB,DarkR2,DarkP,Good?,
1,W0.R1.C01,6.017266553,250.698961,0.999446823,0.014974495,TRUE,3.923959719,296.1102889,0.735999691,0.343532449,FALSE,83
2,W0.R1.C02,4.439235117,243.3722702,0.996143636,0.039559304,TRUE,0.495871069,320.4300171,0.239309394,0.674583034,FALSE,0.576388889
3,W0.R1.C03,5.605127334,284.8243667,0.985066484,0.07799164,TRUE,-2.083795511,425.1720316,0.95026448,0.143179533,TRUE,
4,W0.R1.C04,-1.638892238,308.1468824,0.760065421,0.325883175,FALSE,9.497477028,160.074695,0.768885836,0.319266248,FALSE,
5,W0.R1.C05,1.759988696,254.8501055,0.822289982,0.277032278,TRUE,0.336733919,296.8770997,0.151236525,0.745716256,FALSE,
6,W0.R1.C06,4.469272694,275.2506246,0.995518969,0.042647541,TRUE,-1.884902117,393.8933566,0.945358831,0.150202406,TRUE,
7,W0.R1.C07,5.327846633,257.2617697,0.971360057,0.108258336,TRUE,-1.894818218,396.1778221,0.945350216,0.150214471,TRUE,
8,W0.R1.C08,1.050050934,226.0514907,0.978769668,0.093090919,TRUE,2.664568518,234.5254419,0.775462786,0.31427481,FALSE,
9,W0.R1.C09,7.194501013,270.9324563,0.997728314,0.0303542,TRUE,-2.121940024,433.0285306,0.954540642,0.136785006,TRUE,
10,W0.R1.C10,2.394697109,242.9085036,0.999960605,0.003995785,TRUE,-0.417782538,314.0503403,0.220758365,0.688616503,FALSE,
11,W0.R1.C11,1.773616299,245.8693056,0.998160298,0.027314116,TRUE,-0.339883128,311.1043882,0.506288689,0.495996391,TRUE,
12,W0.R1.C12,0.206218008,249.0931425,0.8490066,0.254067671,TRUE,-0.316583249,256.9980923,0.983045382,0.083130243,TRUE,
13,W0.R2.C01,3.246809776,233.6895095,0.943010811,0.1534583,TRUE,-1.452210332,374.6768708,0.89707596,0.207915413,TRUE,
14,W0.R2.C02,2.296343103,231.7820212,0.941283074,0.155813984,TRUE,-2.510016589,389.4778797,0.980308058,0.089631393,TRUE,
15,W0.R2.C03,-0.468294385,235.0958823,0.256574108,0.66185482,FALSE,0.930881555,254.3277324,0.754960663,0.329674503,FALSE,
16,W0.R2.C04,3.895033594,225.5240758,0.967589162,0.115239037,TRUE,-1.682394834,386.9764804,0.995744154,0.041560578,TRUE,
17,W0.R2.C05,0.93209374,231.576847,0.241870499,0.672675809,FALSE,1.463380074,291.8595328,0.99675306,0.03629548,FALSE,
18,W0.R2.C06,7.522543086,215.486141,0.998807903,0.021984791,TRUE,-2.040782333,436.8372921,0.999596644,0.012786551,TRUE,
19,W0.R2.C07,0.058544208,253.1579502,0.05320604,0.851820137,FALSE,-0.243247232,260.4569299,0.644500589,0.406676847,FALSE,
20,W0.R2.C08,22.45077586,202.4130172,0.927579565,0.173459338,TRUE,-5.264405904,581.306738,0.924867721,0.176761632,TRUE,
21,W0.R2.C09,1.516951352,244.7417874,0.482610053,0.511073017,FALSE,-0.797351423,337.709143,0.768552331,0.319518015,FALSE,
22,W0.R2.C10,0.560909711,239.7898728,0.327970046,0.611802331,FALSE,-0.560502818,336.9753658,0.992545314,0.055034608,FALSE,
23,W0.R2.C11,5.418338948,208.5863326,0.968805427,0.113032639,TRUE,-1.485056391,408.9590038,0.532197876,0.479488002,TRUE,
24,W0.R2.C12,0.247931034,236.0161839,0.707880339,0.363515394,TRUE,0.016814633,276.502809,0.011240176,0.93237868,FALSE,
25,W0.R3.C01,-0.838414867,254.3026966,0.361037649,0.589646574,FALSE,3.246270966,211.7904977,0.976303042,0.098391316,FALSE,
26,W0.R3.C02,0.156713334,259.4355684,0.533114345,0.478903311,TRUE,-0.443163491,272.0468771,0.999285028,0.017024582,TRUE,
27,W0.R3.C03,0.315422656,251.1048043,0.796160418,0.298211804,TRUE,0.03306391,279.7112162,0.008276105,0.942004541,FALSE,
