Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G021_Poc2_CH_N0.T2,G021_Poc2_CH,2,N0,T2,POC,CH,0.12264,3.15,6.04,16.91,Cone,4.595,319.2897212,694.7374006,1014.027122,1.525909184,0.001504801
G022_Poc2_CH_T0,G022_Poc2_CH,2,,T0,POC,T0,0,2.44,3.08,4.77,Cone,NA,NA,NA,NA,NA,NA
G023_Poc2_CH_N1.T2,G023_Poc2_CH,2,N1,T2,POC,CH,0.10194,4.4,4.17,20.26,Cone,4.285,336.4513385,607.6451569,944.0964954,1.71195382,0.001813325
G024_Poc2_CH_N3.T2,G024_Poc2_CH,2,N3,T2,POC,CH,0.15178,3.54,6.78,6.18,Cone,5.16,214.1578706,817.3397186,1031.497589,1.159998177,0.001124577
G025_Poc2_TP_N3.T3,G025_Poc2_TP,2,N3,T3,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G026_Poc2_CH_N2.T1,G026_Poc2_CH,2,N2,T1,POC,CH,0.21255,3.3,2.83,2.27,Cone,3.065,66.23843138,1073.020668,1139.259099,2.137600787,0.001876308
G027_Poc2_CH_N1.T3,G027_Poc2_CH,2,N1,T3,POC,CH,0.37161,3.1,3.55,6.87,Cone,3.325,114.4580728,1742.242518,1856.700591,2.788294658,0.001501747
G028_Poc2_CH_N4.T2,G028_Poc2_CH,2,N4,T2,POC,CH,0.1576,4.71,4.48,9,Cone,4.595,212.205731,841.8265234,1054.032254,2.668407066,0.002531618
G029_Poc2_CH_N2.T2,G029_Poc2_CH,2,N2,T2,POC,CH,0.16293,3.92,6.1,15.08,Cone,5.01,328.9601568,864.2517243,1193.211881,1.964979406,0.001646798
G030_Poc2_TP_N0.T1,G030_Poc2_TP,2,N0,T1,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G031_Poc2_TP_N4.T2,G031_Poc2_TP,2,N4,T2,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G032_Poc2_CH_N1.T1,G032_Poc2_CH,2,N1,T1,POC,CH,0.15884,2.75,2.71,2.55,Cone,2.73,55.45332349,847.0436433,902.4969668,2.212027848,0.002451009
G033_Poc2_CH_N3.T3,G033_Poc2_CH,2,N3,T3,POC,CH,0.29996,2.65,3.38,5.9,Cone,3.015,91.31599613,1440.785549,1532.101545,2.174453223,0.001419262
G034_Poc2_CH_T0,G034_Poc2_CH,2,,T0,POC,T0,0.292083,2.85,2.41,4.59,Cone,NA,NA,NA,NA,NA,NA
