Nubin,Species,Color,Number,Colony,Level,Tank,Blastate Volume,SA (cm2),Prot (mg/mL),Protein/cm2,VL3 mean,VL3 median,Zoox/uL,Zoox/mL,Zoox/cm2,Zoox/mg Protein,chla,chlc2,chla.cm2,chlc2.cm2,chla.prot,chlc2.prot,chl.zoox,Notes - blue cells not incubated,Not Incubated
R163_Por8_TP_2.1,Por,R,163,8,2,1,15,5.95989112,0.691671297,1.740815267,79257.25781,51898,1166.53061,1166530.61,2935952.822,1686538.99,10.53408056,4.459155556,26.51243205,11.22291196,15.22989403,6.446928732,9.03027E-06,,0
G137_Por2_TP_4.1,Por,G,137,2,4,1,15,6.39121144,0.41238233,0.967850149,90658.13281,64624.5,794.28571,794285.71,1864167.03,1926090.554,6.813877778,2.712969444,15.99198644,6.367265744,16.52320502,6.578772293,8.57862E-06,,0
G136_Por2_TP_2.3,Por,G,136,2,2,3,15,4.862121,0.445710103,1.375048366,95031.32813,70399,826.12245,826122.45,2548648.368,1853497.251,6.002777778,2.365611111,18.51900985,7.298083834,13.46789706,5.307510639,7.26621E-06,,0
G155_Por3_TP_4.2,Por,G,155,3,4,2,15,8.39056084,0.610854945,1.092039537,99318.49219,63719,1396.6,1396600,2496734.175,2286303.829,12.629975,5.466483333,22.57889891,9.772558898,20.67589876,8.948905755,9.04337E-06,,0
G160_Por3_TP_2.1,Por,G,160,3,2,1,15,9.77138492,0.809475531,1.242621498,100775.5,67925.5,1055.2,1055200,1619831.798,1303560.095,12.68365185,4.839505556,19.47060517,7.429098733,15.66897499,5.978569295,1.20201E-05,,0
R126_Por7_TP_2.3,Por,R,126,7,2,3,15,7.6926606,0.566776198,1.105162883,100912.5313,65037,1057.7551,1057755.1,2062527.82,1866265.916,11.17516944,4.711136111,21.79058071,9.186293968,19.71707614,8.312162948,1.0565E-05,,0
G183_Por5_TP_2.1,Por,G,183,5,2,1,15,5.64388908,0.677406864,1.800372549,102849.5156,65772,1288.97959,1288979.59,3425774.953,1902814.479,9.628846296,3.516825,25.59098742,9.346812854,14.21427328,5.191599295,7.47013E-06,,0
G182_Por5_TP_0.1,Por,G,182,5,0,1,15,6.0153038,0.358054711,0.89285942,104501.1172,74199.5,880.81633,880816.33,2196438.516,2460004.865,4.898468519,2.06905,12.21501527,5.159465096,13.68078222,5.778586173,5.56128E-06,,0
G199_Por5_TP_4.1,Por,G,199,5,4,1,15,9.81481648,0.60101811,0.918536956,104545.5078,64492.5,2626.53061,2626530.61,4014131.006,4370135.553,22.59920337,9.066088362,34.5383993,13.8557176,37.6015348,15.08455105,8.6042E-06,,0
R125_Por7_TP_4.2,Por,R,125,7,4,2,15,7.95025468,0.619680747,1.169171502,105626.7344,67275,1427.14286,1427142.86,2692636.118,2303029.207,12.5434787,5.215127778,23.6661828,9.83954852,20.24184027,8.415829927,8.78922E-06,,0
R110_Por6_TP_4.3,Por,R,110,6,4,3,15,7.67618656,0.788162682,1.540144985,111096.75,67340,1454.89796,1454897.96,2843009.251,1845936.115,11.96418519,3.992527778,23.37915792,7.801779725,15.17984225,5.065613821,8.22338E-06,,0
G171_Por4_TP_4.3,Por,G,171,4,4,3,15,8.5837564,0.904955897,1.58139838,113400.7969,74432,878.16327,878163.27,1534578.62,970393.444,13.45575278,4.659025,23.51374879,8.141584144,14.86895971,5.148344812,1.53226E-05,to match G171 (Por4),1
R102_Por6_TP_2.2,Por,R,102,6,2,2,15,5.31740356,0.637177531,1.79743043,115649.6328,72309,1287.7551,1287755.1,3632661.37,2021030.305,12.29668241,4.813030556,34.6880266,13.57720126,19.2986755,7.553672753,9.54893E-06,level II water passed through 100 um mesh 2 twice,0
G170_Por4_TP_2.2,Por,G,170,4,2,2,15,6.15608196,0.629519857,1.533897358,121768.4609,83631,801.83673,801836.73,1953767.19,1273727.462,8.388596296,3.283352778,20.43977732,8.000265751,13.32538791,5.215646084,1.04617E-05,broke in 1/2 (Por4),1
R123_Por7_TP_0.3,Por,R,123,7,0,3,15,7.34520812,0.458338484,0.935994888,122405.3125,90170,616.32653,616326.53,1258629.817,1344697.319,5.20174537,2.259027778,10.62273244,4.613268421,11.3491351,4.928732496,8.43992E-06,,0
R108_Por6_TP_0.2,Por,R,108,6,0,2,15,5.53006844,0.686721846,1.862694432,137559.6094,100194,963.87755,963877.55,2614463.71,1403592.379,5.915606481,2.898666667,16.04575028,7.862470505,8.614268666,4.221020029,6.1373E-06,,0
G139_Por2_TP_0.2,Por,G,139,2,0,2,15,6.54996128,0.474585846,1.08684424,141631.2969,108386,794.89796,794897.96,1820387.769,1674929.765,4.327035185,1.892038889,9.90929946,4.3329391,9.11749733,3.986715795,5.44351E-06,,0
G150_Por3_TP_0.3,Por,G,150,3,0,3,15,6.90939488,0.649586667,1.410224798,144218.5,107521,781.02041,781020.41,1695561.819,1202334.423,12.64271296,6.839138889,27.44678771,14.84747726,19.46270392,10.52844715,1.61874E-05,,0
G165_Por4_TP_0.1,Por,G,165,4,0,1,15,9.04952244,0.597192674,0.989874346,154189.375,115825,654.89796,654897.96,1085523.514,1096627.585,3.615038889,1.973766667,5.992093361,3.271609104,6.05338787,3.30507515,5.52E-06,To match G171 (Por4),1
R167_Por8_TP_4.2,Por,R,167,8,4,2,15,5.79365308,0.544710352,1.410276929,178000.6094,104559,902.85714,902857.14,2337533.317,1657499.508,6.560334259,2.552008333,16.9849683,6.607251845,12.04371138,4.68507405,7.26619E-06,,0
G087_Poc5_TP_2.1,Poc,G,087,5,2,1,10,4.205106332,0.522227223,1.241888272,183714.7031,116834,311.428571,311428.571,740596.1857,596346.8717,3.215334259,1.508202778,7.646261486,3.586598432,6.156964086,2.888020214,1.03245E-05,dead (Poc5),1
