Nub_ID,Sample ID,Tissue,Number,Colony,Nutrient Level,Tank Level,Species
G021_Poc2_CH_N0.T2,G021_POC_T,T,021,2,N0,T2,POC
G026_Poc2_CH_N2.T1,G026_POC_T,T,026,2,N2,T1,POC
G028_Poc2_CH_N4.T2,G028_POC_T,T,028,2,N4,T2,POC
G029_Poc2_CH_N2.T2,G029_POC_T,T,029,2,N2,T2,POC
G036_Poc2_CH_N0.T1,G036_POC_T,T,036,2,N0,T1,POC
G040_Poc2_CH_N4.T1,G040_POC_T,T,040,2,N4,T1,POC
G048_Poc3_CH_N0.T2,G048_POC_T,T,048,3,N0,T2,POC
G049_Poc3_CH_N0.T1,G049_POC_T,T,049,3,N0,T1,POC
G050_Poc3_CH_N2.T1,G050_POC_T,T,050,3,N2,T1,POC
G053_Poc3_CH_N2.T2,G053_POC_T,T,053,3,N2,T2,POC
G054_Poc3_CH_N4.T1,G054_POC_T,T,054,3,N4,T1,POC
G060_Poc3_CH_N4.T2,G060_POC_T,T,060,3,N4,T2,POC
G063_Poc4_CH_N2.T1,G063_POC_T,T,063,4,N2,T1,POC
G068_Poc4_CH_N0.T2,G068_POC_T,T,068,4,N0,T2,POC
G075_Poc4_CH_N4.T1,G075_POC_T,T,075,4,N4,T1,POC
G078_Poc4_CH_N4.T2,G078_POC_T,T,078,4,N4,T2,POC
G079_Poc4_CH_N2.T2,G079_POC_T,T,079,4,N2,T2,POC
G080_Poc4_CH_N0.T1,G080_POC_T,T,080,4,N0,T1,POC
G125_Por2_CH_N4.T2,G125_POR_T,T,125,2,N4,T2,POR
G126_Por2_CH_N2.T2,G126_POR_T,T,126,2,N2,T2,POR
G128_Por2_CH_N0.T1,G128_POR_T,T,128,2,N0,T1,POR
G130_Por2_CH_N4.T1,G130_POR_T,T,130,2,N4,T1,POR
G135_Por2_CH_N0.T2,G135_POR_T,T,135,2,N0,T2,POR
G140_Por2_CH_N2.T1,G140_POR_T,T,140,2,N2,T1,POR
G141_Por3_CH_N0.T2,G141_POR_T,T,141,3,N0,T2,POR
G142_Por3_CH_N2.T2,G142_POR_T,T,142,3,N2,T2,POR
G149_Por3_CH_N2.T1,G149_POR_T,T,149,3,N2,T1,POR
G151_Por3_CH_N0.T1,G151_POR_T,T,151,3,N0,T1,POR
G153_Por3_CH_N4.T2,G153_POR_T,T,153,3,N4,T2,POR
G154_Por3_CH_N4.T1,G154_POR_T,T,154,3,N4,T1,POR
G161_Por4_CH_N2.T2,G161_POR_T,T,161,4,N2,T2,POR
G163_Por4_CH_N4.T1,G163_POR_T,T,163,4,N4,T1,POR
G169_Por4_CH_N0.T1,G169_POR_T,T,169,4,N0,T1,POR
G173_Por4_CH_N2.T1,G173_POR_T,T,173,4,N2,T1,POR
G176_Por4_CH_N4.T2,G176_POR_T,T,176,4,N4,T2,POR
G177_Por4_CH_N0.T2,G177_POR_T,T,177,4,N0,T2,POR
G185_Por5_CH_N2.T2,G185_POR_T,T,185,5,N2,T2,POR
G186_Por5_CH_N4.T2,G186_POR_T,T,186,5,N4,T2,POR
G190_Por5_CH_N0.T2,G190_POR_T,T,190,5,N0,T2,POR
G192_Por5_CH_N2.T1,G192_POR_T,T,192,5,N2,T1,POR
G197_Por5_CH_N4.T1,G197_POR_T,T,197,5,N4,T1,POR
G200_Por5_CH_N0.T1,G200_POR_T,T,200,5,N0,T1,POR
R001_Poc6_CH_N4.T2,R001_POC_T,T,001,6,N4,T2,POC
R006_Poc6_CH_N0.T1,R006_POC_T,T,006,6,N0,T1,POC
R009_Poc6_CH_N2.T1,R009_POC_T,T,009,6,N2,T1,POC
R011_Poc6_CH_N2.T2,R011_POC_T,T,011,6,N2,T2,POC
R015_Poc6_CH_N4.T1,R015_POC_T,T,015,6,N4,T1,POC
R020_Poc6_CH_N0.T2,R020_POC_T,T,020,6,N0,T2,POC
R023_Poc7_CH_N0.T1,R023_POC_T,T,023,7,N0,T1,POC
R024_Poc7_CH_N2.T1,R024_POC_T,T,024,7,N2,T1,POC
R026_Poc7_CH_N4.T2,R026_POC_T,T,026,7,N4,T2,POC
R031_Poc7_CH_N4.T1,R031_POC_T,T,031,7,N4,T1,POC
R036_Poc7_CH_N0.T2,R036_POC_T,T,036,7,N0,T2,POC
R038_Poc7_CH_N2.T2,R038_POC_T,T,038,7,N2,T2,POC
R045_Poc8_CH_N2.T2,R045_POC_T,T,045,8,N2,T2,POC
R046_Poc8_CH_N4.T1,R046_POC_T,T,046,8,N4,T1,POC
R050_Poc8_CH_N4.T2,R050_POC_T,T,050,8,N4,T2,POC
R058_Poc8_CH_N0.T1,R058_POC_T,T,058,8,N0,T1,POC
R059_Poc8_CH_N2.T1,R059_POC_T,T,059,8,N2,T1,POC
R060_Poc8_CH_N0.T2,R060_POC_T,T,060,8,N0,T2,POC
R122_Por7_CH_N0.T2,R122_POR_T,T,122,7,N0,T2,POR
R128_Por7_CH_N2.T2,R128_POR_T,T,128,7,N2,T2,POR
R129_Por7_CH_N4.T2,R129_POR_T,T,129,7,N4,T2,POR
R131_Por7_CH_N4.T1,R131_POR_T,T,131,7,N4,T1,POR
R138_Por7_CH_N2.T1,R138_POR_T,T,138,7,N2,T1,POR
R140_Por7_CH_N0.T1,R140_POR_T,T,140,7,N0,T1,POR
R161_Por8_CH_N2.T1,R161_POR_T,T,161,8,N2,T1,POR
R162_Por8_CH_N0.T2,R162_POR_T,T,162,8,N0,T2,POR
R170_Por8_CH_N4.T1,R170_POR_T,T,170,8,N4,T1,POR
R171_Por8_CH_N4.T2,R171_POR_T,T,171,8,N4,T2,POR
R172_Por8_CH_N2.T2,R172_POR_T,T,172,8,N2,T2,POR
R174_Por8_CH_N0.T1,R174_POR_T,T,174,8,N0,T1,POR
G021_Poc2_CH_N0.T2,G021_POC_Z,Z,021,2,N0,T2,POC
G026_Poc2_CH_N2.T1,G026_POC_Z,Z,026,2,N2,T1,POC
G028_Poc2_CH_N4.T2,G028_POC_Z,Z,028,2,N4,T2,POC
G029_Poc2_CH_N2.T2,G029_POC_Z,Z,029,2,N2,T2,POC
G036_Poc2_CH_N0.T1,G036_POC_Z,Z,036,2,N0,T1,POC
G040_Poc2_CH_N4.T1,G040_POC_Z,Z,040,2,N4,T1,POC
G048_Poc3_CH_N0.T2,G048_POC_Z,Z,048,3,N0,T2,POC
G049_Poc3_CH_N0.T1,G049_POC_Z,Z,049,3,N0,T1,POC
G050_Poc3_CH_N2.T1,G050_POC_Z,Z,050,3,N2,T1,POC
G053_Poc3_CH_N2.T2,G053_POC_Z,Z,053,3,N2,T2,POC
G054_Poc3_CH_N4.T1,G054_POC_Z,Z,054,3,N4,T1,POC
G060_Poc3_CH_N4.T2,G060_POC_Z,Z,060,3,N4,T2,POC
G063_Poc4_CH_N2.T1,G063_POC_Z,Z,063,4,N2,T1,POC
G068_Poc4_CH_N0.T2,G068_POC_Z,Z,068,4,N0,T2,POC
G075_Poc4_CH_N4.T1,G075_POC_Z,Z,075,4,N4,T1,POC
G078_Poc4_CH_N4.T2,G078_POC_Z,Z,078,4,N4,T2,POC
G079_Poc4_CH_N2.T2,G079_POC_Z,Z,079,4,N2,T2,POC
G080_Poc4_CH_N0.T1,G080_POC_Z,Z,080,4,N0,T1,POC
G125_Por2_CH_N4.T2,G125_POR_Z,Z,125,2,N4,T2,POR
G126_Por2_CH_N2.T2,G126_POR_Z,Z,126,2,N2,T2,POR
G128_Por2_CH_N0.T1,G128_POR_Z,Z,128,2,N0,T1,POR
G130_Por2_CH_N4.T1,G130_POR_Z,Z,130,2,N4,T1,POR
G135_Por2_CH_N0.T2,G135_POR_Z,Z,135,2,N0,T2,POR
G140_Por2_CH_N2.T1,G140_POR_Z,Z,140,2,N2,T1,POR
G141_Por3_CH_N0.T2,G141_POR_Z,Z,141,3,N0,T2,POR
G142_Por3_CH_N2.T2,G142_POR_Z,Z,142,3,N2,T2,POR
G149_Por3_CH_N2.T1,G149_POR_Z,Z,149,3,N2,T1,POR
G151_Por3_CH_N0.T1,G151_POR_Z,Z,151,3,N0,T1,POR
G153_Por3_CH_N4.T2,G153_POR_Z,Z,153,3,N4,T2,POR
G154_Por3_CH_N4.T1,G154_POR_Z,Z,154,3,N4,T1,POR
G161_Por4_CH_N2.T2,G161_POR_Z,Z,161,4,N2,T2,POR
G163_Por4_CH_N4.T1,G163_POR_Z,Z,163,4,N4,T1,POR
G169_Por4_CH_N0.T1,G169_POR_Z,Z,169,4,N0,T1,POR
G173_Por4_CH_N2.T1,G173_POR_Z,Z,173,4,N2,T1,POR
G176_Por4_CH_N4.T2,G176_POR_Z,Z,176,4,N4,T2,POR
G177_Por4_CH_N0.T2,G177_POR_Z,Z,177,4,N0,T2,POR
G185_Por5_CH_N2.T2,G185_POR_Z,Z,185,5,N2,T2,POR
G186_Por5_CH_N4.T2,G186_POR_Z,Z,186,5,N4,T2,POR
G190_Por5_CH_N0.T2,G190_POR_Z,Z,190,5,N0,T2,POR
G192_Por5_CH_N2.T1,G192_POR_Z,Z,192,5,N2,T1,POR
G197_Por5_CH_N4.T1,G197_POR_Z,Z,197,5,N4,T1,POR
G200_Por5_CH_N0.T1,G200_POR_Z,Z,200,5,N0,T1,POR
R001_Poc6_CH_N4.T2,R001_POC_Z,Z,001,6,N4,T2,POC
R006_Poc6_CH_N0.T1,R006_POC_Z,Z,006,6,N0,T1,POC
R009_Poc6_CH_N2.T1,R009_POC_Z,Z,009,6,N2,T1,POC
R011_Poc6_CH_N2.T2,R011_POC_Z,Z,011,6,N2,T2,POC
R015_Poc6_CH_N4.T1,R015_POC_Z,Z,015,6,N4,T1,POC
R020_Poc6_CH_N0.T2,R020_POC_Z,Z,020,6,N0,T2,POC
R023_Poc7_CH_N0.T1,R023_POC_Z,Z,023,7,N0,T1,POC
R024_Poc7_CH_N2.T1,R024_POC_Z,Z,024,7,N2,T1,POC
R026_Poc7_CH_N4.T2,R026_POC_Z,Z,026,7,N4,T2,POC
R031_Poc7_CH_N4.T1,R031_POC_Z,Z,031,7,N4,T1,POC
R036_Poc7_CH_N0.T2,R036_POC_Z,Z,036,7,N0,T2,POC
R038_Poc7_CH_N2.T2,R038_POC_Z,Z,038,7,N2,T2,POC
R045_Poc8_CH_N2.T2,R045_POC_Z,Z,045,8,N2,T2,POC
R046_Poc8_CH_N4.T1,R046_POC_Z,Z,046,8,N4,T1,POC
R050_Poc8_CH_N4.T2,R050_POC_Z,Z,050,8,N4,T2,POC
R058_Poc8_CH_N0.T1,R058_POC_Z,Z,058,8,N0,T1,POC
R059_Poc8_CH_N2.T1,R059_POC_Z,Z,059,8,N2,T1,POC
R060_Poc8_CH_N0.T2,R060_POC_Z,Z,060,8,N0,T2,POC
R122_Por7_CH_N0.T2,R122_POR_Z,Z,122,7,N0,T2,POR
R128_Por7_CH_N2.T2,R128_POR_Z,Z,128,7,N2,T2,POR
R129_Por7_CH_N4.T2,R129_POR_Z,Z,129,7,N4,T2,POR
R131_Por7_CH_N4.T1,R131_POR_Z,Z,131,7,N4,T1,POR
R138_Por7_CH_N2.T1,R138_POR_Z,Z,138,7,N2,T1,POR
R140_Por7_CH_N0.T1,R140_POR_Z,Z,140,7,N0,T1,POR
R161_Por8_CH_N2.T1,R161_POR_Z,Z,161,8,N2,T1,POR
R162_Por8_CH_N0.T2,R162_POR_Z,Z,162,8,N0,T2,POR
R170_Por8_CH_N4.T1,R170_POR_Z,Z,170,8,N4,T1,POR
R171_Por8_CH_N4.T2,R171_POR_Z,Z,171,8,N4,T2,POR
R172_Por8_CH_N2.T2,R172_POR_Z,Z,172,8,N2,T2,POR
R174_Por8_CH_N0.T1,R174_POR_Z,Z,174,8,N0,T1,POR
