Sample ID, d15N ,d13C,C:N
G021_POC_T,4.4,-18.7,7.8
G021_POC_Z,,,7.6
G026_POC_T,4.1,-17.7,6.6
G026_POC_Z,2.2,-17.9,6.4
G028_POC_T,4.1,-17.6,6
G028_POC_Z,1.2,-17.8,5.1
G029_POC_T,4.5,-17.7,7.1
G029_POC_Z,2,-18.2,6.1
G036_POC_T,4.8,-18,8.1
G036_POC_Z,2.8,-18.7,8.8
G040_POC_T,3.8,-17.9,6.5
G040_POC_Z,0.8,-18.4,5
G048_POC_T,4.3,-18.5,6.5
G048_POC_Z,,-19.2,6.3
G049_POC_T,4.1,-19,8
G049_POC_Z,1.9,-19.3,7.6
G050_POC_T,4.4,-17,6.6
G050_POC_Z,2.2,-17.4,6.5
G053_POC_T,4.3,-18.1,7.1
G053_POC_Z,2.3,-18,6.3
G054_POC_T,3.6,-18.2,6.4
G054_POC_Z,1.3,-18.6,5.3
G060_POC_T,4.2,-18.2,6.3
G060_POC_Z,1.4,-18.1,4.9
G063_POC_T,3.9,-17.4,6.3
G063_POC_Z,,-17.8,6.1
G068_POC_T,2.6,-18.7,7.3
G068_POC_Z,,,5.9
G075_POC_T,4.3,-17.5,6.6
G075_POC_Z,-0.1,-17.7,5.7
G078_POC_T,4.1,-17.4,6.9
G078_POC_Z,0.7,-16.9,5.7
G079_POC_T,4,-17.8,7
G079_POC_Z,,-18,6.2
G080_POC_T,4.2,-17.6,7.2
G080_POC_Z,1.8,-18,7.4
G125_POR_T,4,-15.6,7.4
G125_POR_Z,2,-16.7,5.7
G126_POR_T,4.1,-16.7,7.4
G126_POR_Z,1.7,-17.5,5.8
G128_POR_T,3.8,-16.8,7
G128_POR_Z,1.8,-18.1,6.3
G130_POR_T,4.1,-16,6.4
G130_POR_Z,1.9,-16.9,5.5
G135_POR_T,3.9,-16.3,7.8
G135_POR_Z,2.1,-16.5,6.3
G140_POR_T,3.9,-15.9,7.1
G140_POR_Z,1.7,-16.7,5.5
G141_POR_T,5.3,-17.4,8.2
G141_POR_Z,3.6,-18.3,6.7
G142_POR_T,3.5,-16.7,7.6
G142_POR_Z,2.8,-17.4,5.7
G149_POR_T,4,-17,7.2
G149_POR_Z,2.4,-17.4,5.5
G151_POR_T,4.1,-17.5,7.1
G151_POR_Z,2.9,-18.2,6
R001_POC_T,2.7,-17.8,5.5
R001_POC_Z,0.2,-18.4,5.5
R006_POC_T,4.6,-18.1,6
R006_POC_Z,3.4,-18.9,7.7
R009_POC_T,3.7,-17.7,5.5
R009_POC_Z,2.4,-18.3,6.2
R011_POC_T,4.3,-17.3,5.8
R011_POC_Z,2.2,-17.7,6.1
R015_POC_T,3.8,-18.2,5.5
R015_POC_Z,0.4,-18.8,5.3
R020_POC_T,4,-18.4,5.6
R020_POC_Z,,-19.9,7.3
R023_POC_T,4.1,-17,6.3
R023_POC_Z,2,-17.9,7.8
R024_POC_T,4.1,-17.1,7.1
R024_POC_Z,1.9,-17,7.2
R026_POC_T,3.4,-17.4,6.7
R026_POC_Z,,-18,6.7
R031_POC_T,4.1,-17,7.5
R031_POC_Z,1.3,-16.8,6.1
R036_POC_T,3.7,-18,8.1
R036_POC_Z,,-18.9,8.4
R038_POC_T,4,-16.9,7.7
R038_POC_Z,,-17.3,6.9
R045_POC_T,4.6,-17.6,5.9
R045_POC_Z,2.3,-17.8,6
R046_POC_T,4.2,-18.2,6
R046_POC_Z,0.7,-19,5.4
R050_POC_T,3.2,-18.2,6.1
R050_POC_Z,1.1,-18.3,5.5
R058_POC_T,4.4,-18.9,6.5
R058_POC_Z,2.8,-19.8,7.7
R059_POC_T,4.1,-18.1,5.6
R059_POC_Z,2.6,-18.3,6.2
R060_POC_T,5,-19,6.1
R060_POC_Z,3.2,-19.1,
G173_POR_Z,2.5,-18.9,5.8
G161_POR_T,2.9,-17.9,7.6
G154_POR_Z,2.6,-17.8,5.5
G169_POR_Z,2.7,-18.7,6.2
G153_POR_T,3.9,-17.3,7.2
G173_POR_T,3.5,-18.6,7.2
G154_POR_T,4.2,-17,6.4
G153_POR_Z,2.7,-17.6,5.6
G163_POR_T,1.5,-17.9,7.2
G169_POR_T,3.4,-18.1,6.8
G163_POR_Z,2.6,-18,5.4
G161_POR_Z,3.9,-18.1,5.4
G186_POR_T,2,-16.8,6.9
G190_POR_Z,3,-17.8,6.2
G200_POR_T,3.8,-16.7,7.4
G197_POR_Z,2.2,-17.3,5.4
G200_POR_Z,2.5,-17.2,6.3
G176_POR_T,2.4,-18.1,7.7
G177_POR_T,3.8,-18.6,7.8
G185_POR_T,4.7,-17,7.1
G185_POR_Z,3.6,-18,5.7
G190_POR_T,3.3,-17.3,7.3
G192_POR_T,3.6,-17.2,7.2
G197_POR_T,4,-16.7,6.2
G176_POR_Z,2.5,-18.4,5.9
G177_POR_Z,3.5,-18.8,5.8
