Date,NO2+NO3,PO4,N:P
1998,0.1,0.07,1.428571429
1998,0.04,0.12,0.333333333
1998,0,0.11,0
1998,0.03,0.05,0.6
1999,0.01,0.11,0.090909091
1999,0,0.04,0
1999,0.02,0.13,0.153846154
1999,0.01,0.1,0.1
1999,0.02,0.1,0.2
1999,0.01,0.11,0.090909091
1999,0.04,0.12,0.333333333
1999,0.05,0.12,0.416666667
1999,0.02,0.06,0.333333333
1999,0.01,0.09,0.111111111
1999,0.03,0.06,0.5
1999,0.03,0.1,0.3
1999,0.04,0.1,0.4
1999,0.02,0.05,0.4
1999,0.03,0.04,0.75
1999,0.03,0.07,0.428571429
1999,0.01,0.05,0.2
1999,0.01,0.05,0.2
1999,0.33,0.12,2.75
1999,0.05,0.05,1
1999,0.95,0.1,9.5
1999,0.04,0.08,0.5
1999,0.02,0.04,0.5
1999,0,0.06,0
1999,0.19,0.12,1.583333333
1999,0.02,0.04,0.5
2000,0.36,0.06,6
2000,0.01,0.11,0.090909091
2000,0.04,0.1,0.4
2000,,,
2000,0.16,0.02,8
2000,0.13,0.06,2.166666667
2000,0.06,0.05,1.2
2000,0.01,0.1,0.1
2000,0.07,0.13,0.538461538
2000,0,0.15,0
2000,0.04,0.06,0.666666667
2000,0.01,0.06,0.166666667
2000,0.02,0.03,0.666666667
2000,0.04,0.04,1
2000,,,
2000,0.03,0.05,0.6
2000,0.03,0.05,0.6
2000,0.05,0.05,1
2000,0.02,0.07,0.285714286
2000,0,0.06,0
2000,0.01,0.07,0.142857143
2000,0,0.07,0
2000,,,
2000,0.02,0.08,0.25
2000,0,0.08,0
2000,0.02,0.06,0.333333333
2000,0.05,0.1,0.5
2000,0.01,0.04,0.25
2000,0.04,0.06,0.666666667
2000,,,
2001,0.01,0.05,0.2
2001,0.03,0.07,0.428571429
2001,0.02,0.12,0.166666667
2001,0.06,0.1,0.6
2001,0.02,0.1,0.2
2001,0.03,0.12,0.25
2001,,,
2001,0.08,0.08,1
2001,0.01,0.09,0.111111111
2001,0.01,0.08,0.125
2001,0.01,0.06,0.166666667
2001,0,0.03,0
2001,0,0.05,0
2001,0.01,0.04,0.25
2001,0.01,0.03,0.333333333
2001,,,
2001,0.04,0.06,0.666666667
2001,0.06,0.06,1
2005,0.07,0.02,3.5
2005,0.35,0.02,17.5
2005,0.45,0.05,9
2005,0.06,0.08,0.75
2005,0.06,0.06,1
2005,0.06,,
2005,0.56,0.09,6.222222222
2006,0.12,0.09,1.333333333
2006,0.04,0.08,0.5
2006,0.017,0.012,1.416666667
2006,0.92,0.14,6.571428571
2006,0.72,0.15,4.8
2006,0.03,0.06,0.5
2006,0.4,0.07,5.714285714
2006,0.81,0.09,9
2006,0.49,0.06,8.166666667
2006,0.44,0.08,5.5
2006,0.03,0.07,0.428571429
2006,0.6,0.11,5.454545455
2006,0.48,0.06,8
2006,0.45,0.15,3
2006,0.11,1.44,0.076388889
2006,0.11,0.14,0.785714286
2006,0.22,0.12,1.833333333
2006,0.15,0.21,0.714285714
2006,0.1,0.18,0.555555556
2006,0.17,0.22,0.772727273
2006,0.5,0.15,3.333333333
2006,0.15,0.16,0.9375
2006,0.19,0.1,1.9
2006,0.21,0.11,1.909090909
2007,0.34,0.19,1.789473684
2007,0.28,0.14,2
2007,0.51,0.18,2.833333333
2007,0.16,0.14,1.142857143
2007,0.32,0.2,1.6
2007,0.13,0.23,0.565217391
2007,0.394,0.053,7.433962264
2007,0.149,0.142,1.049295775
2007,1.5,0.211,7.109004739
2007,0.728,0.283,2.572438163
2007,0.104,0.172,0.604651163
2007,0.224,0.091,2.461538462
2007,0.086,0.136,0.632352941
2008,0.16,0.061,2.62295082
2008,0.019,0.182,0.104395604
2007,0.479,0.128,3.7421875
2007,0.308,0.148,2.081081081
2007,0.308,0.176,1.75
2007,0.25,0.174,1.436781609
2007,0.256,0.016,16
2008,0,0.359,0
2008,0.359,0.178,2.016853933
2008,0.125,0.171,0.730994152
2008,0.161,0.131,1.229007634
2008,0.181,0.229,0.790393013
2008,0,0.243,0
2008,0.161,0.175,0.92
