"Nub_ID","Time","Species","Coral","Color","Colony","Treatment","Tank","Assignment","Memory_num","Fo","Fm","Yield"
"G021_Poc2_CH_0.2",0,"Pocillopora",21,"G",2,0,2,"CH",248,426,1339,0.682
"G022_Poc2_CH_T0.",0,"Pocillopora",22,"G",2,NA,NA,"T0",247,656,2190,0.7
"G023_Poc2_CH_1.2",0,"Pocillopora",23,"G",2,1,2,"CH",246,584,1874,0.688
"G024_Poc2_CH_3.2",0,"Pocillopora",24,"G",2,3,2,"CH",244,551,1735,0.682
"G025_Poc2_TP_2.2",0,"Pocillopora",25,"G",2,2,2,"TP",254,636,2010,0.684
"G026_Poc2_CH_2.1",0,"Pocillopora",26,"G",2,2,1,"CH",237,442,1480,0.701
"G027_Poc2_CH_1.3",0,"Pocillopora",27,"G",2,1,3,"CH",240,379,1298,0.708
"G028_Poc2_CH_4.2",0,"Pocillopora",28,"G",2,4,2,"CH",256,361,1153,0.687
"G029_Poc2_CH_2.2",0,"Pocillopora",29,"G",2,2,2,"CH",255,575,1673,0.656
"G030_Poc2_TP_0.1",0,"Pocillopora",30,"G",2,0,1,"TP",250,437,1383,0.684
"G031_Poc2_TP_4.2",0,"Pocillopora",31,"G",2,4,2,"TP",253,322,1126,0.714
"G032_Poc2_CH_1.1",0,"Pocillopora",32,"G",2,1,1,"CH",245,401,1781,0.775
"G033_Poc2_CH_3.3",0,"Pocillopora",33,"G",2,3,3,"CH",242,502,1821,0.724
"G034_Poc2_CH_T0.",0,"Pocillopora",34,"G",2,NA,NA,"T0",239,532,1684,0.684
"G035_Poc2_CH_0.3",0,"Pocillopora",35,"G",2,0,3,"CH",257,629,2041,0.692
"G036_Poc2_CH_0.1",0,"Pocillopora",36,"G",2,0,1,"CH",251,536,1747,0.693
"G037_Poc2_CH_2.3",0,"Pocillopora",37,"G",2,2,3,"CH",243,562,2013,0.721
"G038_Poc2_CH_4.3",0,"Pocillopora",38,"G",2,4,3,"CH",241,573,1946,0.706
"G039_Poc2_CH_3.1",0,"Pocillopora",39,"G",2,3,1,"CH",249,597,1798,0.668
"G040_Poc2_CH_4.1",0,"Pocillopora",40,"G",2,4,1,"CH",238,533,1686,0.684
"G041_Poc3_CH_1.2",0,"Pocillopora",41,"G",3,1,2,"CH",185,563,1972,0.715
"G042_Poc3_CH_1.1",0,"Pocillopora",42,"G",3,1,1,"CH",186,487,1607,0.697
"G043_Poc3_CH_3.3",0,"Pocillopora",43,"G",3,3,3,"CH",171,581,2024,0.713
"G044_Poc3_CH_T0.",0,"Pocillopora",44,"G",3,NA,NA,"T0",189,328,1064,0.692
