Nub_ID,Color,Number,Colony,Nutrient Level,Tank Level,Assignment,Species,Partial mortality,Blastate Vol (mL),Corrected SA,BW_initial,BW_final,dry.w_intial,dry.w_final,Growth.day,percent.growth ,growth.SA,growth.protein,Total Protein per mL,Total Protein (mg),Protein.SA,Chl.a per ml,Total Chl.a,Chl.a.cm2,Chl.c.per ml,Total Chl.c,Chl.c.cm2,Total chl,Mean VL3,Median VL3,Zoox/uL,Zoox/mL,Total Zoox,Zoox.cm2,
G021_Poc2_CH_N0.T2,G,021,2,N0,T2,CH,POC,0,10,4.726296896,3.211,3.26,4.939380325,5.014750783,2.216778177,0.044879682,0.469030665,0.824629175,0.268821216,2.688212161,0.568777675,0.5852295,5.852295,1.238241086,1.114416977,11.14416977,2.357907262,3.596148348,233177.4063,183537.5,77.48,77480,774800,1.64E+05,
G022_Poc2_CH_T0,G,022,2,T0,T0,T0,POC,0,10,5.956309343,,,,,,,0,,0.645896557,6.458965568,1.084390551,2.61339075,26.1339075,4.387600777,3.948840699,39.48840699,6.62967699,11.01727777,302014.25,173295,183.22449,183224.49,1832244.9,3.08E+05,
G023_Poc2_CH_N1.T2,G,023,2,N1,T2,CH,POC,0,10,4.564875933,3.563,3.624,5.480850659,5.574680291,2.759695066,1.71195382,0.604549851,0.742343072,0.371754674,3.71754674,0.814380674,2.37763275,23.7763275,5.208537504,4.687683754,46.87683754,10.26902773,15.47756523,338714.1563,206163,123.7,123700,1237000,2.71E+05,
G024_Poc2_CH_N3.T2,G,024,2,N3,T2,CH,POC,0,10,4.429438337,3.448,3.488,5.303949935,5.365475658,1.809580076,1.159998177,0.408534884,0.412301548,0.438897231,4.388972308,0.990864298,4.757088,47.57088,10.73970928,9.66573835,96.6573835,21.82158914,32.56129841,275965.4063,172853.5,229.52,229520,2295200,5.18E+05,
G025_Poc2_TP_N3.T3,G,025,2,N3,T3,TP,POC,0,10,3.48033768,3.921,3.975,6.031550718,6.114612074,2.442981073,1.37711445,0.701937943,0.484379522,0.504352674,5.04352674,1.449148676,2.229549,22.29549,6.406128385,5.765515546,57.65515546,16.56596594,22.97209432,220322.0625,126972,223.854167,223854.167,2238541.67,6.43E+05,
G026_Poc2_CH_N2.T1,G,026,2,N2,T1,CH,POC,0,10,5.032804524,3.181,3.249,4.8932322,4.99782997,3.076405,2.137600787,0.611270512,0.392709411,0.783379495,7.833794945,1.556546635,4.66639875,46.6639875,9.271965019,8.344768517,83.44768517,16.5807523,25.85271732,217876.7656,116809,311.489796,311489.796,3114897.96,6.19E+05,
G027_Poc2_CH_N1.T3,G,027,2,N1,T3,CH,POC,0,10,7.61047836,4.447,4.571,6.840680155,7.031418474,5.609950569,2.788294658,0.737135079,0.668548251,0.83912426,8.391242604,1.102590692,7.7866635,77.866635,10.23150337,9.208353035,92.08353035,12.09957193,22.3310753,413217.0313,219377.5,202.612245,202612.245,2026122.45,2.66E+05,
G028_Poc2_CH_N4.T2,G,028,2,N4,T2,CH,POC,0,10,4.66595934,3.635,3.732,5.591605909,5.740812717,4.388435505,2.668407066,0.940521592,0.654125416,0.670885949,6.708859487,1.437830679,9.00462,90.0462,19.29853937,17.36868543,173.6868543,37.22425372,56.52279308,376963.125,188569.5,293.673469,293673.469,2936734.69,6.29E+05,
G029_Poc2_CH_N2.T2,G,029,2,N2,T2,CH,POC,0,10,5.25531915,3.664,3.736,5.636215737,5.746966216,3.257367016,1.964979406,0.619822873,0.943170261,0.345363626,3.453636264,0.657169653,2.137302,21.37302,4.06693093,3.660237837,36.60237837,6.964825033,11.03175596,272032.0938,156341,194.836735,194836.735,1948367.35,3.71E+05,
G030_Poc2_TP_N0.T1,G,030,2,N0,T1,TP,POC,0,10,171.003313,5.59,5.623,8.598920926,8.649675925,1.492794083,0.590248466,0.008729621,0.256251908,0.582549451,5.825494505,0.034066559,1.47772425,14.7772425,0.086414949,0.077773454,0.777734537,0.004548067,0.090963016,341064.4375,244760.5,128.816327,128816.327,1288163.27,7.53E+03,
G031_Poc2_TP_N4.T2,G,031,2,N4,T2,TP,POC,0,10,8.56439124,4.965,5.064,7.637503062,7.789784458,4.47886457,1.993863624,0.522963564,0.451716163,0.991521875,9.915218755,1.15772604,8.236998,82.36998,9.617727366,8.655954629,86.55954629,10.10691173,19.7246391,318504.9375,157889,229.040816,229040.816,2290408.16,2.67E+05,
G032_Poc2_CH_N1.T1,G,032,2,N1,T1,CH,POC,0,10,4.245097005,3.3,3.373,5.076286181,5.188575045,3.302613646,2.212027848,0.777983081,0.555003046,0.595062256,5.950622564,1.401763625,1.874646,18.74646,4.416026296,3.974423666,39.74423666,9.362385976,13.77841227,231223.4688,133630.5,178.285714,178285.714,1782857.14,4.20E+05,
G033_Poc2_CH_N3.T3,G,033,2,N3,T3,CH,POC,0,10,6.485657901,3.495,3.571,5.376248425,5.493152432,3.438353152,2.174453223,0.530147165,0.619519788,0.555002959,5.550029586,0.855738873,5.97003225,59.7003225,9.204975564,8.284478008,82.84478008,12.77353529,21.97851085,318077.9063,161458,208.22449,208224.49,2082244.9,3.21E+05,
G034_Poc2_CH_T0,G,034,2,T0,T0,T0,POC,0,10,6.294365249,,,,,,,0,,0.539768571,5.397685714,0.8575425,2.35605075,23.5605075,3.743110952,3.368799857,33.68799857,5.352088294,9.095199246,224035.75,154671,269.82,269820,2698200,4.29E+05,
G035_Poc2_CH_N0.T3,G,035,2,N0,T3,CH,POC,0,10,7.385175003,4.728,4.779,7.27293339,7.351378416,2.30720664,1.078588536,0.312410557,0.496736521,0.464472923,4.644729231,0.628926089,1.7152035,17.152035,2.322495404,2.090245863,20.90245863,2.830326786,5.15282219,349462.0938,218640,120.94,120940,1209400,1.64E+05,
G036_Poc2_CH_N0.T1,G,036,2,N0,T1,CH,POC,0,15,5.952809102,3.65,3.693,5.614679973,5.680820414,1.945307097,1.177991294,0.326788087,0.307072666,0.422333714,6.335005714,1.064204413,1.13128575,16.96928625,2.850635046,2.565571542,38.48357313,6.46477528,9.315410327,309086.5938,237877,188.897959,188897.959,2833469.385,4.76E+05,
G037_Poc2_CH_N2.T3,G,037,2,N2,T3,CH,POC,0,10,3.684177896,3.581,3.633,5.508539572,5.588524612,2.352501179,1.45201898,0.63854169,0.602171327,0.390669744,3.906697436,1.060398696,0.78270525,7.8270525,2.124504495,1.912054045,19.12054045,5.189906945,7.31441144,228057.2188,150972.5,115.64,115640,1156400,3.14E+05,
G038_Poc2_CH_N4.T3,G,038,2,N4,T3,CH,POC,0,10,4.31105277,2.858,2.894,4.39637142,4.451744932,1.628632683,1.259527595,0.377780735,0.613335439,0.265537026,2.655370256,0.615944735,2.58896175,25.8896175,6.005404917,5.404864425,54.04864425,12.53722632,18.54263124,232132.9688,143629,192.795918,192795.918,1927959.18,4.47E+05,
G039_Poc2_CH_N3.T1,G,039,2,N3,T1,CH,POC,0,10,7.899157996,3.956,4.007,6.085390166,6.163837858,2.307285041,1.289115229,0.29209253,0.285392673,0.808459803,8.084598028,1.023475924,6.8649135,68.649135,8.690690202,7.821621182,78.21621182,9.901841672,18.59253187,224446.3125,129063,365.28,365280,3652800,4.62E+05,
G040_Poc2_CH_N4.T1,G,040,2,N4,T1,CH,POC,0,10,4.913563896,3.226,3.259,4.962454234,5.013212391,1.492886956,1.022843821,0.303829763,0.243624226,0.612782637,6.127826374,1.247124593,4.15667775,41.5667775,8.459598446,7.613638601,76.13638601,15.4951452,23.95474364,211745.1875,135922,359.816327,359816.327,3598163.27,7.32E+05,
G041_Poc3_CH_N1.T2,G,041,3,N1,T2,CH,POC,0,10,4.295946388,3.4,3.466,5.230113813,5.331634128,2.985891635,1.94107278,0.695048626,0.802046711,0.372284007,3.722840073,0.8665937,1.36782525,13.6782525,3.183990503,2.865591453,28.65591453,6.67045441,9.854444913,264335.8438,188691,117.48,117480,1174800,2.73E+05,
G042_Poc3_CH_N1.T1,G,042,3,N1,T1,CH,POC,0,10,6.45284565,4.602,4.699,7.079112933,7.228317591,4.388372291,2.107674497,0.680067761,0.5798723,0.756782535,7.567825348,1.172788837,1.96418475,19.6418475,3.043904746,2.739514271,27.39514271,4.24543592,7.289340666,224158.7031,159035,196.673469,196673.469,1966734.69,3.05E+05,
G043_Poc3_CH_N3.T3,G,043,3,N3,T3,CH,POC,0,10,9.419934538,4.226,4.288,6.500718016,6.596096182,2.805240162,1.445978999,0.297798265,0.334265621,0.839224852,8.392248521,0.890903062,6.604857,66.04857,7.011574203,6.310416783,63.10416783,6.699002799,13.710577,311170.1563,181571,351.56,351560,3515600,3.73E+05,
G044_Poc3_CH_T0,G,044,3,T0,T0,T0,POC,0,10,6.630354937,,,,,,,0,,0.569062571,5.690625714,0.85826864,1.6321815,16.321815,2.461680431,2.215512388,22.15512388,3.341468758,5.80314919,148636.0781,112716.5,244.530612,244530.612,2445306.12,3.69E+05,
G045_Poc3_CH_N4.T3,G,045,3,N4,T3,CH,POC,0,10,7.066398048,3.51,3.583,5.399323529,5.511610978,3.302572026,2.079657725,0.467362863,0.55833588,0.59150274,5.915027399,0.837063998,6.20678925,62.0678925,8.783526215,7.905173594,79.05173594,11.18699165,19.97051786,286031.8438,183502,273.428571,273428.571,2734285.71,3.87E+05,
G046_Poc3_TP_N4.T1,G,046,3,N4,T1,TP,POC,1,10,5.53934904,3.015,3.062,4.63788039,4.710173825,2.126277478,1.558760213,0.383849702,0.318560403,0.667464462,6.674644615,1.204951081,6.967344,69.67344,12.57791114,11.32012003,113.2012003,20.4358309,33.01374204,211888,134101,392.428571,392428.571,3924285.71,7.08E+05,
G047_Poc3_TP_N3.T1,G,047,3,N3,T1,TP,POC,0,10,9.91778136,3.227,3.285,4.963993256,5.053207613,2.623951666,1.79722961,0.264570429,0.521990476,0.502681905,5.026819048,0.50684915,3.8086875,38.086875,3.840261609,3.456235448,34.56235448,3.484887721,7.325149329,206632.7031,137910.5,381.714286,381714.286,3817142.86,3.85E+05,
G048_Poc3_CH_N0.T2,G,048,3,N0,T2,CH,POC,0,10,6.588827206,4.457,4.536,6.856063771,6.977579548,3.573993447,1.772383999,0.542432414,0.861565585,0.414825465,4.148254652,0.629589231,1.561509,15.61509,2.369934665,2.132941199,21.32941199,3.237209191,5.607143856,254810.6094,199892,232.42,232420,2324200,3.53E+05,
G049_Poc3_CH_N0.T1,G,049,3,N0,T1,CH,POC,0,15,10.76572932,5.515,5.602,8.483551859,8.617372359,3.93589705,1.57741123,0.365595022,0.486627193,0.539207714,8.088115714,0.751283585,1.9287285,28.9309275,2.687317007,2.418585306,36.2787796,3.369839471,6.057156478,379988.9688,303035,207.64,207640,3114600,2.89E+05,
G050_Poc3_CH_N2.T1,G,050,3,N2,T1,CH,POC,0,10,9.482667423,5.095,5.222,7.837479517,8.032831057,5.745633538,2.492530154,0.605909,0.684331154,0.839598418,8.395984176,0.88540321,3.83625075,38.3625075,4.045539698,3.640985728,36.40985728,3.839621876,7.885161574,261884.3125,157424.5,313.22449,313224.49,3132244.9,3.30E+05,
G051_Poc3_TP_N0.T1,G,051,3,N0,T1,TP,POC,0,10,8.01841884,4.354,4.432,6.697621899,6.817599838,3.528762905,1.791351327,0.440082138,0.486032779,0.726033934,7.260339341,0.905457732,1.742787,17.42787,2.173479628,1.956131665,19.56131665,2.439547877,4.613027505,339664.9375,257518.5,264.489796,264489.796,2644897.96,3.30E+05,
G052_Poc3_CH_N2.T3,G,052,3,N2,T3,CH,POC,0,10,6.778787065,5.414,5.514,8.328187058,8.482005107,4.524060262,1.846957181,0.66738492,0.592335549,0.763766462,7.637664615,1.126700771,4.8137985,48.137985,7.101268197,6.391141378,63.91141378,9.428148895,16.52941709,401389.3438,213680.5,321.755102,321755.102,3217551.02,4.75E+05,
G053_Poc3_CH_N2.T2,G,053,3,N2,T2,CH,POC,0,10,5.968282286,3.754,3.815,5.77466118,5.868489324,2.759651301,1.624825099,0.462386189,0.820142431,0.336484396,3.364843956,0.563787669,4.43679975,44.3679975,7.433964309,6.690567878,66.90567878,11.21020682,18.64417113,273860.0625,167861.5,250.081633,250081.633,2500816.33,4.19E+05,
G054_Poc3_CH_N4.T1,G,054,3,N4,T1,CH,POC,0,10,7.090465271,4.188,4.258,6.442269664,6.549941197,3.166809798,1.671329186,0.446629336,0.383142979,0.826534733,8.265347326,1.165698866,3.57324525,35.7324525,5.039507442,4.535556698,45.35556698,6.396698276,11.43620572,203885.4531,124718,388.918367,388918.367,3889183.67,5.49E+05,
G055_Poc3_CH_N3.T1,G,055,3,N3,T1,CH,POC,0,18.5,12.99191681,4.389,4.488,6.751461449,6.903744627,4.478916996,2.255558726,0.344746434,0.488143864,0.495967766,9.175403663,0.70623941,2.56360875,47.42676188,3.650482262,3.285434036,60.78052967,4.678334271,8.328816534,212582.9063,133135.5,357.510204,357510.204,6613938.774,5.09E+05,
G056_Poc3_CH_N3.T2,G,056,3,N3,T2,CH,POC,1,10,4.552653771,3.136,3.185,4.82401108,4.899380726,2.216754273,1.562385409,0.48691475,0.824538602,0.268847846,2.688478462,0.590529963,2.34231375,23.4231375,5.144941539,4.630447385,46.30447385,10.17087531,15.31581685,219913.3438,145711,197.061224,197061.224,1970612.24,4.33E+05,
