Month,Day,Hour,PAR
10,19,6,0
10,19,7,33.1582
10,19,8,116.7244
10,19,9,203.6876
10,19,10,349.0792
10,19,11,461.8596
10,19,12,402.4121
10,19,13,197.9554
10,19,14,180.9112
10,19,15,62.2702
10,19,16,65.6122
10,19,17,44.3905
10,19,18,1.5
10,20,6,0
10,20,7,31.12
10,20,8,86.4911
10,20,9,188.7408
10,20,10,220.3329
10,20,11,154.0914
10,20,12,271.9673
10,20,13,211.6576
10,20,14,107.3872
10,20,15,73.2988
10,20,16,113.737
10,20,17,45.7273
10,20,18,2
10,21,6,0
10,21,7,30.4406
10,21,8,94.3042
10,21,9,255.6617
10,21,10,353.1556
10,21,11,389.5035
10,21,12,401.393
10,21,13,101.8729
10,21,14,92.8495
10,21,15,54.7507
10,21,16,24.0043
10,21,17,15.148
10,21,18,3
10,22,6,0
10,22,7,32.8185
10,22,8,116.3847
10,22,9,207.764
10,22,10,202.6685
10,22,11,332.0942
10,22,12,323.262
10,22,13,177.5692
10,22,14,172.8904
10,22,15,61.4347
10,22,16,44.7247
10,22,17,13.1428
10,22,18,1.11
10,23,6,0
10,23,7,31.12
10,23,8,113.3274
10,23,9,254.3029
10,23,10,358.2511
10,23,11,447.5922
10,23,12,504.3221
10,23,13,220.681
10,23,14,210.3208
10,23,15,172.3891
10,23,16,112.5673
10,23,17,55.9204
10,23,18,1
10,24,6,0
10,24,7,31.4597
10,24,8,111.9686
10,24,9,178.8895
10,24,10,341.9455
10,24,11,388.4844
10,24,12,495.8296
10,24,13,224.6914
10,24,14,178.4047
10,24,15,76.3066
10,24,16,29.1844
10,24,17,7.7956
10,24,18,0.6
10,25,6,0
10,25,7,32.8185
10,25,8,120.8008
10,25,9,250.5662
10,25,10,358.9305
10,25,11,441.4776
10,25,12,490.3944
10,25,13,218.6758
10,25,14,206.6446
10,25,15,169.2142
10,25,16,78.1447
10,25,17,53.4139
10,25,18,1
10,26,6,0
10,26,7,32.4788
10,26,8,80.7162
10,26,9,199.6112
10,26,10,308.3152
10,26,11,440.4585
10,26,12,458.4626
10,26,13,223.0204
10,26,14,207.9814
10,26,15,155.512
10,26,16,102.7084
10,26,17,44.3905
10,26,18,9
10,27,6,0
10,27,7,26.36166667
10,27,8,60.29116667
10,27,9,140.4220833
10,27,10,231.4225
10,27,11,318.7733333
10,27,12,426.1783333
10,27,13,172.7233
10,27,14,149.5393333
10,27,15,83.52966667
10,27,16,52.37841667
10,27,17,16.87779167
10,27,18,1.7095
10,28,6,0
10,28,7,44.70383333
10,28,8,84.1132
10,28,9,161.2251
10,28,10,332.7736
10,28,11,261.7763
10,28,12,220.6726
10,28,13,73.8001
10,28,14,66.2806
10,28,15,77.4763
10,28,16,47.7325
10,28,17,12.6415
10,28,18,0
10,29,6,0
10,29,7,34
10,29,8,107.5525
10,29,9,235.2797
10,29,10,525.503
10,29,11,602.1575
10,29,12,483.4508333
10,29,13,163.7010833
10,29,14,138.1758333
10,29,15,85.25433333
10,29,16,40.22175
10,29,17,28
10,29,18,0
10,30,6,0
10,30,7,14.93061818
